"Geography (2,3)",Age group,Sex,Indicators,"Characteristics (50,51,52,53,54,71,84,87)",2013
"Kingston, Frontenac and Lennox and Addington Health Unit, Ontario [3541-A] ","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,19.6
"Kingston, Frontenac and Lennox and Addington Health Unit, Ontario [3541-A] ","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,42.5
"Kingston, Frontenac and Lennox and Addington Health Unit, Ontario [3541-A] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,55.6
"Kingston, Frontenac and Lennox and Addington Health Unit, Ontario [3541-A] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,44.4
"Kingston, Frontenac and Lennox and Addington Health Unit, Ontario [3541-A] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,59.3
"Kingston, Frontenac and Lennox and Addington Health Unit, Ontario [3541-A] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,F
"Kingston, Frontenac and Lennox and Addington Health Unit, Ontario [3541-A] ","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,69.8
"Kingston, Frontenac and Lennox and Addington Health Unit, Ontario [3541-A] ","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,92.9
"Kingston, Frontenac and Lennox and Addington Health Unit, Ontario [3541-A] ","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,76.7
"Kingston, Frontenac and Lennox and Addington Health Unit, Ontario [3541-A] ","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,41.6
"Kingston, Frontenac and Lennox and Addington Health Unit, Ontario [3541-A] ","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,10.7
"Kingston, Frontenac and Lennox and Addington Health Unit, Ontario [3541-A] ","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,56.1
"Kingston, Frontenac and Lennox and Addington Health Unit, Ontario [3541-A] ","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,14.9
"Kingston, Frontenac and Lennox and Addington Health Unit, Ontario [3541-A] ","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,F
"Lambton Health Unit, Ontario [3542-A] ","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,95.1
"Lambton Health Unit, Ontario [3542-A] ","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,20.3
"Lambton Health Unit, Ontario [3542-A] ","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,8.9
"Lambton Health Unit, Ontario [3542-A] ","Total, 12 years and over",Both sexes,Asthma (24),Percent,11.9
"Lambton Health Unit, Ontario [3542-A] ","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,18.5
"Lambton Health Unit, Ontario [3542-A] ","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,25
"Lambton Health Unit, Ontario [3542-A] ","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,23.8
"Lambton Health Unit, Ontario [3542-A] ","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,37.7
"Lambton Health Unit, Ontario [3542-A] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,53
"Lambton Health Unit, Ontario [3542-A] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,47
"Lambton Health Unit, Ontario [3542-A] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,57.5
"Lambton Health Unit, Ontario [3542-A] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,F
"Lambton Health Unit, Ontario [3542-A] ","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,70
"Lambton Health Unit, Ontario [3542-A] ","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,90.4
"Lambton Health Unit, Ontario [3542-A] ","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,79.5
"Lambton Health Unit, Ontario [3542-A] ","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,35.8
"Lambton Health Unit, Ontario [3542-A] ","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,6.3
"Lambton Health Unit, Ontario [3542-A] ","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,25.1
"Lambton Health Unit, Ontario [3542-A] ","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,20
"Lambton Health Unit, Ontario [3542-A] ","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,6.1
"Leeds, Grenville and Lanark District Health Unit, Ontario [3543-A] ","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,92.5
"Leeds, Grenville and Lanark District Health Unit, Ontario [3543-A] ","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,29.4
"Leeds, Grenville and Lanark District Health Unit, Ontario [3543-A] ","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,10.7
"Leeds, Grenville and Lanark District Health Unit, Ontario [3543-A] ","Total, 12 years and over",Both sexes,Asthma (24),Percent,10.1
"Leeds, Grenville and Lanark District Health Unit, Ontario [3543-A] ","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,24.5
"Leeds, Grenville and Lanark District Health Unit, Ontario [3543-A] ","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,26.6
"Leeds, Grenville and Lanark District Health Unit, Ontario [3543-A] ","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,17.1
"Leeds, Grenville and Lanark District Health Unit, Ontario [3543-A] ","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,34.2
"Leeds, Grenville and Lanark District Health Unit, Ontario [3543-A] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,55.2
"Leeds, Grenville and Lanark District Health Unit, Ontario [3543-A] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,44.8
"Leeds, Grenville and Lanark District Health Unit, Ontario [3543-A] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,64.3
"Leeds, Grenville and Lanark District Health Unit, Ontario [3543-A] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,F
"Leeds, Grenville and Lanark District Health Unit, Ontario [3543-A] ","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,72.6
"Leeds, Grenville and Lanark District Health Unit, Ontario [3543-A] ","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,96.3
"Leeds, Grenville and Lanark District Health Unit, Ontario [3543-A] ","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,79
"Leeds, Grenville and Lanark District Health Unit, Ontario [3543-A] ","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,45.1
"Leeds, Grenville and Lanark District Health Unit, Ontario [3543-A] ","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,11
"Leeds, Grenville and Lanark District Health Unit, Ontario [3543-A] ","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,35.5
"Leeds, Grenville and Lanark District Health Unit, Ontario [3543-A] ","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,16.7
"Leeds, Grenville and Lanark District Health Unit, Ontario [3543-A] ","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,4.3
"Middlesex-London Health Unit, Ontario [3544-A] ","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,92.9
"Middlesex-London Health Unit, Ontario [3544-A] ","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,21
"Middlesex-London Health Unit, Ontario [3544-A] ","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,6.1
"Middlesex-London Health Unit, Ontario [3544-A] ","Total, 12 years and over",Both sexes,Asthma (24),Percent,8.6
"Middlesex-London Health Unit, Ontario [3544-A] ","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,13
"Middlesex-London Health Unit, Ontario [3544-A] ","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,14
"Middlesex-London Health Unit, Ontario [3544-A] ","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,17.4
"Middlesex-London Health Unit, Ontario [3544-A] ","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,38.9
"Middlesex-London Health Unit, Ontario [3544-A] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,46
"Middlesex-London Health Unit, Ontario [3544-A] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,54
"Middlesex-London Health Unit, Ontario [3544-A] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,57.4
"Middlesex-London Health Unit, Ontario [3544-A] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,33.4
"Middlesex-London Health Unit, Ontario [3544-A] ","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,62.4
"Middlesex-London Health Unit, Ontario [3544-A] ","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,90.7
"Middlesex-London Health Unit, Ontario [3544-A] ","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,74.9
"Middlesex-London Health Unit, Ontario [3544-A] ","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,38.3
"Middlesex-London Health Unit, Ontario [3544-A] ","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,11.5
"Middlesex-London Health Unit, Ontario [3544-A] ","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,34.4
"Middlesex-London Health Unit, Ontario [3544-A] ","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,12.8
"Middlesex-London Health Unit, Ontario [3544-A] ","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,2.7
"Niagara Regional Area Health Unit, Ontario [3546-A] ","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,91.9
"Niagara Regional Area Health Unit, Ontario [3546-A] ","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,22.3
"Niagara Regional Area Health Unit, Ontario [3546-A] ","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,6.7
"Niagara Regional Area Health Unit, Ontario [3546-A] ","Total, 12 years and over",Both sexes,Asthma (24),Percent,9.7
"Niagara Regional Area Health Unit, Ontario [3546-A] ","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,18.3
"Niagara Regional Area Health Unit, Ontario [3546-A] ","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,26
"Niagara Regional Area Health Unit, Ontario [3546-A] ","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,17.6
"Niagara Regional Area Health Unit, Ontario [3546-A] ","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,35.6
"Niagara Regional Area Health Unit, Ontario [3546-A] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,53.9
"Niagara Regional Area Health Unit, Ontario [3546-A] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,46.1
"Niagara Regional Area Health Unit, Ontario [3546-A] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,54.6
"Niagara Regional Area Health Unit, Ontario [3546-A] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,22.6
"Niagara Regional Area Health Unit, Ontario [3546-A] ","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,67.1
"Niagara Regional Area Health Unit, Ontario [3546-A] ","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,94.8
"Niagara Regional Area Health Unit, Ontario [3546-A] ","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,79.8
"Niagara Regional Area Health Unit, Ontario [3546-A] ","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,31.2
"Niagara Regional Area Health Unit, Ontario [3546-A] ","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,9.7
"Niagara Regional Area Health Unit, Ontario [3546-A] ","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,34.9
"Niagara Regional Area Health Unit, Ontario [3546-A] ","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,17.9
"Niagara Regional Area Health Unit, Ontario [3546-A] ","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,6.6
"North Bay Parry Sound District Health Unit, Ontario [3547-C]  (9)","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,91.2
"North Bay Parry Sound District Health Unit, Ontario [3547-C]  (9)","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,21.6
"North Bay Parry Sound District Health Unit, Ontario [3547-C]  (9)","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,14
